#          chi2            h           Omegam           OmegaK          
        33.0661        0.709614        0.211215        0.117109 
        30.7116         0.70237        0.251694       0.0338727 
        30.6996        0.701327        0.324959      -0.0304231 
         30.168        0.698891        0.310213     -0.00926357 
        30.1937        0.701079        0.275662      0.00730253 
        30.2198        0.704293        0.260119      0.00762059 
        31.2873        0.705215        0.280144       0.0344764 
        30.2983        0.700776        0.276148      0.00813241 
        30.5168        0.697809        0.307855      0.00291413 
        31.9016        0.697614        0.321508       0.0240892 
        36.2513        0.691721        0.321732    -0.000367817 
        34.5759        0.691373        0.294093       0.0812243 
        32.4782        0.692574        0.247293        0.171387 
        30.8603        0.701316        0.210764        0.131535 
        32.0036          0.7086        0.204658        0.123112 
        29.9774        0.703257        0.228416       0.0918612 
        30.7481        0.704331        0.227084        0.071845 
        33.3854        0.705858        0.186624        0.122529 
         31.848         0.69689        0.236951        0.117358 
        30.5789         0.70643        0.242708       0.0757403 
         31.173        0.698789        0.300854       0.0543371 
        32.8534         0.70261        0.322612     -0.00704298 
        33.2483        0.694779        0.327684      -0.0313627 
        29.7627        0.701156        0.290048      -0.0106107 
        29.5376        0.702873        0.309975      -0.0468737 
        29.9077        0.705539        0.297987      -0.0363587 
        29.9344        0.700469        0.320027      -0.0477382 
         33.149         0.70719        0.295414       -0.128712 
        31.0975        0.709845        0.292718      -0.0847609 
        38.5588        0.715213        0.218186      -0.0291611 
        39.7087        0.710827        0.209392     -0.00800778 
        30.0564        0.706877        0.271699      -0.0116148 
        30.5857        0.707792        0.257244    -0.000957196 
         31.569        0.710013        0.272632      -0.0322583 
        33.9066        0.707694          0.3016       -0.152641 
        33.9866        0.708269         0.29491       -0.143065 
        35.8138        0.712519        0.275794       -0.138506 
        31.1845        0.708244        0.336302        -0.13208 
        30.7094        0.703594        0.331168      -0.0665317 
        32.4969        0.705533        0.346444      -0.0974882 
         30.383        0.702062         0.31883      -0.0914951 
         33.657        0.714072          0.3255       -0.179536 
        34.8308        0.707245        0.326975       -0.210086 
        34.6715        0.716244        0.390764       -0.365434 
        32.2189        0.708126        0.440055       -0.373397 
        44.5077        0.701492         0.50966       -0.336725 
         38.451         0.70684        0.460149       -0.317576 
