#          Chi2            h           Omegam           Omegak          
        34.1525         0.71323        0.271431       -0.106345 
        33.9554        0.705045         0.31605       -0.161038 
        34.1969        0.708003        0.314874      -0.0435046 
        36.5153        0.695644        0.284946     -0.00515394 
        35.1709        0.700311        0.317626       0.0497475 
        30.6253        0.697928        0.302601       0.0400655 
        36.1373        0.694523        0.356912       0.0116674 
        33.3629        0.694285         0.33525      -0.0315299 
        29.9442        0.700612        0.321996      -0.0469478 
        29.8531        0.699907        0.306447      -0.0138195 
        36.5321        0.714206        0.297236       -0.083135 
        31.3965        0.710503        0.295175        -0.10247 
        29.8879        0.706238        0.311346      -0.0811784 
        29.6554        0.704774        0.316249      -0.0804215 
        34.7371        0.709551        0.317929        -0.06683 
        33.2855        0.695954         0.35037       -0.093654 
        33.6825        0.697662        0.380446      -0.0948985 
        35.9416        0.692292        0.375499      -0.0795905 
        35.8492         0.69529        0.406957       -0.125389 
        33.3782        0.695903        0.369982      -0.0729387 
        34.3898        0.694069        0.337591      -0.0512906 
        30.7273        0.699569        0.337667      -0.0531412 
        31.5167        0.702655        0.327735       -0.134311 
        29.9278        0.702633        0.340088       -0.111016 
        29.9104        0.701011        0.316579      -0.0576337 
        29.4618        0.701863        0.297059       -0.015295 
        30.7567         0.70113        0.272045      0.00422135 
        30.3743        0.704932        0.271721      -0.0252078 
        29.3497        0.702794        0.280529      0.00762376 
        29.9452        0.705618        0.283883     -0.00662497 
        30.1188        0.706166        0.270171      -0.0211093 
        29.9392        0.702737        0.261602       0.0232297 
        30.8818        0.707651        0.267676       0.0132836 
        30.2731        0.706075        0.308703       -0.107858 
        29.9751        0.706321        0.303463      -0.0603018 
        33.7013        0.703146        0.299681       0.0456557 
        30.2704        0.704568        0.265144       0.0570394 
        29.5872        0.699787        0.276103       0.0454465 
        30.1119        0.704157        0.288451       0.0105144 
        29.4941        0.701657        0.286958     -0.00103734 
        31.2916         0.70251        0.290915       0.0449621 
        33.0511        0.697222        0.292109        0.112711 
        36.0702        0.698968        0.247245       0.0304343 
        30.9232        0.696309        0.283791       0.0581663 
        34.1636        0.698061        0.259314        0.031446 
        30.3389        0.704433        0.272868      -0.0233842 
        30.0272          0.7069        0.293062      -0.0670966 
        31.7064        0.709518        0.250757      -0.0146203 
        31.2082        0.704269        0.255083      0.00254723 
        30.9038        0.704766        0.258233     -0.00378654 
        30.1592        0.707191        0.304508      -0.0733838 
        30.1779        0.699955        0.285329      0.00443608 
        32.2998        0.702535        0.311436       0.0123356 
        31.2235        0.701413         0.30065       0.0339381 
        31.3751        0.698772        0.318811       0.0151422 
        32.0766        0.695948        0.333059     -0.00333531 
        30.6452         0.69895        0.292502     -0.00323315 
        33.8437        0.693558        0.320141     -0.00195054 
        34.1636        0.694088        0.301504        0.012453 
        30.7048        0.696943        0.297598       0.0311347 
        31.7072        0.694262        0.281407        0.117601 
        30.7568         0.69634        0.267401        0.134227 
        29.3944        0.700002        0.251759        0.109209 
        31.5576        0.695564        0.281301        0.121694 
        31.9076        0.704359        0.263792       0.0879527 
        30.6206         0.70472        0.243049        0.105776 
        30.1027        0.704667        0.213303        0.144982 
        31.3969        0.706994        0.194456        0.161715 
         31.461         0.70479        0.219888        0.163537 
        29.9744         0.69885        0.239684         0.11537 
        31.0136         0.70511        0.258752       0.0756723 
        30.7157        0.705851        0.199379        0.159442 
        34.5611        0.707515        0.205796        0.185708 
        31.6812        0.699323        0.183338        0.202378 
        29.6586        0.700591        0.214156        0.156721 
        29.4593        0.701884         0.24208        0.117529 
        32.1215        0.702441        0.179854        0.175551 
        30.2144        0.701537        0.179236        0.216622 
        30.2847        0.695568        0.205843        0.239972 
        32.5609        0.691981        0.256277        0.187369 
        32.7499        0.690583        0.203003        0.305594 
        31.6674         0.69657         0.22304        0.252323 
        33.7532        0.692403        0.261736        0.215855 
        30.8356        0.696645        0.188759         0.23754 
        32.0281        0.692481        0.221689         0.27353 
        31.4419        0.702355        0.148769         0.26162 
         36.927         0.70287        0.114699         0.28136 
         37.112        0.712581        0.174082        0.174902 
        32.0135        0.705942         0.14999        0.246911 
        31.8929        0.704954        0.136547        0.295869 
        31.6438        0.704897        0.143793        0.276713 
        31.2102        0.693499         0.21828        0.256942 
        30.6092        0.694642        0.212374        0.251874 
        36.1902        0.701393        0.145653        0.226351 
        30.4714         0.69556        0.171658        0.303783 
        32.3665        0.697171        0.176017        0.354592 
        34.4865        0.693719        0.212354        0.330939 
        32.1212        0.697478         0.16509        0.370356 
        37.7614        0.700559        0.156836        0.403112 
        43.7265        0.689884        0.233174        0.389343 
        37.8648        0.707507        0.146411        0.326689 
        30.2646        0.697902        0.162307        0.293173 
        33.7081         0.70582        0.132248         0.25499 
        32.7388        0.702304        0.164015        0.206539 
        32.8642         0.69125        0.227411         0.23376 
        32.4366        0.697759        0.204492         0.29142 
        30.2144        0.698007        0.185406        0.238674 
        34.3501        0.709143        0.141706        0.246291 
        34.9155        0.708491        0.185353        0.210979 
        29.7866        0.701363        0.211501        0.151242 
        30.8145        0.705468        0.240604        0.102402 
        30.4352        0.703586        0.212045        0.117772 
